"province.name","year","province.code","indec.prov.code","fips.code","iso.code","region","date","election.type","round","party.label","party.acro","party.num","incumbent_party","pres_last.name","pres_first.name","vice.pres_last.name","vice.pres_first.name","votes","electors","votes.pct","electors.pct","party.votes","total.votes","turnout","registered.voters"
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",21058,,,,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",12364,,,,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",88480,2,4.47942,3.7037037037037,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",1269352,37,64.26263,68.5185185185185,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION DEL CENTRO DEMOCRATICO","UCEDE",,0,"ALSOGARAY","ALVARO CARLOS","ORIA","JORGE",25263,0,1.27897,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",3630,0,0.18377,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",1740,0,0.08809,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","OBRERO","PO",,0,"FLORES","GREGORIO","GUAGNINI","CATALINA",2606,0,0.13193,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",14480,0,0.73307,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",540389,15,27.35791,27.7777777777778,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",14190,0,0.71839,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA DEMOCRATA SOCIALISTA","",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",6238,0,0.31581,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","FRENTE DE IZQUIERDA POPULAR","",,0,"RAMOS","JORGE ABELARDO","COLOMBO","ELISA",1035,0,0.0524,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",7854,0,0.39762,0,1975257,2008679,85.77533,2341791
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",137866,,,,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",21807,,,,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",181488,0,3.24112,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",2878858,79,51.41238,54.8611111111111,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION DEL CENTRO DEMOCRATICO","UCEDE",,0,"ALSOGARAY","ALVARO CARLOS","ORIA","JORGE",24882,0,0.44436,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",12764,0,0.22795,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",4816,0,0.08601,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","OBRERO","PO",,0,"FLORES","GREGORIO","GUAGNINI","CATALINA",6173,0,0.11024,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",47004,0,0.83943,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",2364585,65,42.22819,45.1388888888889,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",33203,0,0.59296,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA DEMOCRATA SOCIALISTA","",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",13785,0,0.24618,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","CONSERVADOR PRINCIPISTA","",,0,"NDA","NDA","NDA","NDA",3000,0,0.05358,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","RENOVADOR DE LA PROVINCIA","",,0,"NDA","NDA","NDA","NDA",448,0,0.008,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","FRENTE DE IZQUIERDA POPULAR","",,0,"RAMOS","JORGE ABELARDO","COLOMBO","ELISA",4074,0,0.07276,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",24462,0,0.43686,0,5599542,5759215,87.69414,6567389
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",1911,,,,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",1851,,,,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",602,0,0.57964,0,103857,107619,81.33975,132308
